Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
NQ 03-24,Buy,1,16793.00,1/17/2024 1:10:38 PM,41044850007,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,16793.75,1/17/2024 1:10:39 PM,41044850014,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,16776.50,1/17/2024 1:15:42 PM,41044850035,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,16772.00,1/17/2024 1:27:11 PM,41044850048,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,16771.25,1/17/2024 1:27:12 PM,41044850054,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,16765.50,1/17/2024 1:29:19 PM,41044850082,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,16759.50,1/17/2024 1:56:25 PM,41044850132,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,4758.00,1/17/2024 3:11:38 PM,41044850192,Entry,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,4768.00,1/17/2024 3:50:19 PM,41044850206,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17029.50,1/18/2024 10:19:05 AM,41044850248,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17009.00,1/18/2024 10:20:45 AM,41044850269,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4821.00,1/19/2024 10:22:41 AM,41044850296,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4821.00,1/19/2024 10:22:41 AM,41044850292,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,4829.75,1/19/2024 10:55:41 AM,41044850377,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,4829.75,1/19/2024 10:55:41 AM,41044850382,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4895.00,1/22/2024 10:10:19 AM,41044850407,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,4889.50,1/22/2024 10:28:54 AM,41044850451,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17465.50,1/22/2024 11:09:32 AM,41044850459,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17489.50,1/22/2024 11:22:13 AM,41044850526,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17494.75,1/22/2024 11:45:40 AM,41044850534,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17461.50,1/22/2024 12:10:19 PM,41044850579,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17479.00,1/22/2024 12:16:59 PM,41044850590,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850881,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17482.00,1/22/2024 12:17:06 PM,41044850606,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850873,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17481.50,1/22/2024 12:17:07 PM,41044850630,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17481.75,1/22/2024 12:17:07 PM,41044850624,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,2,17437.00,1/22/2024 1:28:17 PM,41044850863,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17480.00,1/22/2024 12:17:12 PM,41044850676,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17480.50,1/22/2024 12:17:09 PM,41044850648,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850855,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850847,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17480.50,1/22/2024 12:18:42 PM,41044850731,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850839,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17438.25,1/23/2024 10:24:53 AM,41044850959,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17448.00,1/23/2024 11:00:21 AM,41044851013,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4928.00,1/24/2024 11:56:02 AM,41044851026,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4928.00,1/24/2024 11:56:17 AM,41044851043,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,4924.25,1/24/2024 1:08:39 PM,41044851107,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,4926.00,1/24/2024 1:10:16 PM,41044851117,Entry,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,4920.00,1/24/2024 1:15:28 PM,41044851162,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,2,17689.75,1/25/2024 9:43:24 AM,41044851178,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,2,17694.75,1/25/2024 9:48:42 AM,41044851262,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,2,17679.75,1/25/2024 9:43:44 AM,41044851191,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17680.00,1/25/2024 9:47:57 AM,41044851202,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17678.25,1/25/2024 9:48:00 AM,41044851220,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17678.25,1/25/2024 9:48:00 AM,41044851226,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17688.50,1/25/2024 9:52:14 AM,41044851303,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17690.00,1/25/2024 9:52:14 AM,41044851318,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17691.75,1/25/2024 9:52:17 AM,41044851341,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17691.50,1/25/2024 9:52:17 AM,41044851356,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17687.25,1/25/2024 9:52:28 AM,41044851371,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17681.00,1/25/2024 10:07:04 AM,41044851539,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,3,17681.00,1/25/2024 10:07:04 AM,41044851547,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17669.00,1/25/2024 10:00:00 AM,41044851484,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17657.75,1/25/2024 10:04:03 AM,41044851515,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17564.25,1/29/2024 9:49:52 AM,41044851589,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,8,17564.25,1/29/2024 9:49:52 AM,41044851597,Entry,-,,,$2.80,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,6,17564.25,1/29/2024 9:49:54 AM,41044851615,Entry,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,5,17546.50,1/29/2024 10:02:54 AM,41044851754,Exit,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17529.75,1/29/2024 10:04:25 AM,41044851849,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,6,17529.75,1/29/2024 10:04:25 AM,41044851839,Exit,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17537.75,1/29/2024 10:04:04 AM,41044851807,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,2,17537.75,1/29/2024 10:04:04 AM,41044851815,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,3,17650.75,1/30/2024 10:07:37 AM,41044851871,Entry,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,2,17650.75,1/30/2024 10:07:37 AM,41044851877,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,5,17650.75,1/30/2024 10:07:38 AM,41044851883,Entry,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,5,17650.75,1/30/2024 10:07:40 AM,41044851895,Entry,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,10,17627.50,1/30/2024 10:45:50 AM,41044851949,Exit,-,,,$3.50,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,5,17627.50,1/30/2024 10:45:50 AM,41044851939,Exit,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,5,17756.25,2/2/2024 3:27:16 PM,41044851979,Entry,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,5,17744.00,2/2/2024 3:34:29 PM,41044852047,Exit,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,5,17756.25,2/2/2024 3:27:22 PM,41044851995,Entry,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,5,17744.00,2/2/2024 3:34:29 PM,41044852039,Exit,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17766.50,2/2/2024 3:51:54 PM,41044852064,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17767.25,2/2/2024 3:51:56 PM,41044852079,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17766.50,2/2/2024 3:51:59 PM,41044852094,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,3,17763.00,2/2/2024 3:52:49 PM,41044852139,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17690.25,2/5/2024 1:03:41 PM,41044852159,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,2,17714.00,2/5/2024 1:13:33 PM,41044852196,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17703.50,2/5/2024 1:09:29 PM,41044852185,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17706.75,2/5/2024 1:18:06 PM,41044852212,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17706.00,2/5/2024 1:18:14 PM,41044852221,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,2,17705.50,2/5/2024 2:08:44 PM,41044852317,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,2,17705.50,2/5/2024 2:08:44 PM,41044852327,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,2,17705.25,2/5/2024 2:09:23 PM,41044852333,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17705.50,2/5/2024 2:09:24 PM,41044852339,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17705.50,2/5/2024 2:09:24 PM,41044852342,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,17706.00,2/5/2024 2:10:13 PM,41044852348,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17703.50,2/5/2024 2:11:47 PM,41044852356,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17737.25,2/5/2024 2:37:12 PM,41044852604,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17737.25,2/5/2024 2:37:12 PM,41044852609,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17720.75,2/5/2024 2:32:38 PM,41044852542,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17726.00,2/5/2024 2:34:38 PM,41044852550,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17728.50,2/5/2024 2:35:50 PM,41044852586,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17698.50,2/5/2024 3:24:09 PM,41044852620,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17701.50,2/5/2024 3:38:10 PM,41044852666,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17712.00,2/5/2024 3:46:59 PM,41044852674,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17696.50,2/5/2024 3:59:57 PM,41044852727,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,4963.50,2/6/2024 10:20:12 AM,41044852743,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,3,4963.25,2/6/2024 10:20:19 AM,41044852753,Entry,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,3,4963.25,2/6/2024 10:20:19 AM,41044852759,Entry,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,6,4962.75,2/6/2024 10:20:27 AM,41044852768,Entry,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,4961.50,2/6/2024 10:20:32 AM,41044852777,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,15,4956.50,2/6/2024 10:25:21 AM,41044852805,Exit,-,,,$5.25,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,4966.25,2/6/2024 10:37:28 AM,41044852877,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,4966.25,2/6/2024 10:37:24 AM,41044852846,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,2,4960.25,2/6/2024 10:42:00 AM,41044853105,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,4966.25,2/6/2024 10:37:24 AM,41044852861,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,2,4960.25,2/6/2024 10:42:00 AM,41044853095,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,2,4960.25,2/6/2024 10:42:00 AM,41044853085,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,4966.00,2/6/2024 10:37:36 AM,41044852907,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,4966.25,2/6/2024 10:37:34 AM,41044852895,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,2,4960.25,2/6/2024 10:42:00 AM,41044853075,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,2,4960.25,2/6/2024 10:42:00 AM,41044853065,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,4965.25,2/6/2024 10:38:18 AM,41044852962,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,2,4960.25,2/6/2024 10:42:00 AM,41044853055,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,3,4965.00,2/6/2024 10:38:28 AM,41044852977,Entry,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,3,4960.25,2/6/2024 10:42:00 AM,41044853045,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,4962.25,2/6/2024 12:38:45 PM,41044853137,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,4961.75,2/6/2024 12:48:02 PM,41044853177,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,5,17839.75,2/8/2024 10:40:23 AM,41044853195,Entry,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,3,17838.75,2/8/2024 10:40:32 AM,41044853211,Entry,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,8,17838.25,2/8/2024 10:41:53 AM,41044853246,Exit,-,,,$2.80,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38664,2/8/2024 12:20:48 PM,41044853259,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38664,2/8/2024 12:21:00 PM,41044853269,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,2,38733,2/8/2024 1:01:48 PM,41044853321,Exit,-,,,$2.58,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5013.75,2/8/2024 1:07:43 PM,41044853337,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5011.50,2/8/2024 1:09:44 PM,41044853366,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5010.75,2/8/2024 1:18:21 PM,41044853424,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5011.25,2/8/2024 1:25:34 PM,41044853436,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,5011.50,2/8/2024 3:54:40 PM,41044853744,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,5,5011.50,2/8/2024 3:54:40 PM,41044853735,Exit,-,,,$11.70,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,5016.75,2/8/2024 3:30:29 PM,41044853622,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5014.50,2/8/2024 3:57:21 PM,41044853776,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,5015.50,2/8/2024 3:59:12 PM,41044853782,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5016.50,2/8/2024 3:59:58 PM,41044853790,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5016.25,2/8/2024 4:00:00 PM,41044853796,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5015.75,2/8/2024 4:00:00 PM,41044853802,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5015.50,2/8/2024 4:00:01 PM,41044853808,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,5016.00,2/8/2024 4:08:36 PM,41044853863,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,5016.00,2/8/2024 4:08:36 PM,41044853868,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,4,5015.50,2/8/2024 4:10:00 PM,41044853900,Exit,-,,,$9.36,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17858.75,2/8/2024 9:33:15 PM,41044853925,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17880.75,2/9/2024 2:25:00 AM,41044854342,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17859.25,2/8/2024 9:33:26 PM,41044853970,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17859.00,2/8/2024 9:33:23 PM,41044853943,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17880.75,2/9/2024 2:25:00 AM,41044854350,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17859.00,2/8/2024 9:33:24 PM,41044853958,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17880.75,2/9/2024 2:25:00 AM,41044854358,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17880.75,2/9/2024 2:25:00 AM,41044854366,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17859.50,2/8/2024 9:33:31 PM,41044853985,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17880.75,2/9/2024 2:25:00 AM,41044854374,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17861.25,2/8/2024 9:44:59 PM,41044854160,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17880.75,2/9/2024 2:25:00 AM,41044854382,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17868.25,2/8/2024 10:57:30 PM,41044854323,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17880.75,2/9/2024 2:25:00 AM,41044854390,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.75,2/9/2024 9:46:59 AM,41044854463,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.75,2/9/2024 9:46:59 AM,41044854470,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.75,2/9/2024 9:46:59 AM,41044854476,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.75,2/9/2024 9:46:59 AM,41044854482,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.50,2/9/2024 9:47:07 AM,41044854497,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.75,2/9/2024 9:47:11 AM,41044854512,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.75,2/9/2024 9:47:12 AM,41044854518,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,1,5023.75,2/9/2024 9:47:12 AM,41044854524,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,5027.00,2/9/2024 10:08:22 AM,41044854575,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,5026.75,2/9/2024 10:08:27 AM,41044854592,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
