Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MES 03-24,Buy,1,5027.25,2/9/2024 10:08:36 AM,41044854621,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,5027.50,2/9/2024 10:08:37 AM,41044854632,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,4,5028.25,2/9/2024 10:09:06 AM,41044854653,Exit,-,,,$1.40,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,4,5026.00,2/9/2024 10:14:58 AM,41044854670,Entry,-,,,$1.40,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,2,5026.00,2/9/2024 10:15:41 AM,41044854686,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,6,5029.75,2/9/2024 10:18:19 AM,41044854717,Exit,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,5029.00,2/9/2024 10:32:59 AM,41044854736,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,5029.00,2/9/2024 10:33:00 AM,41044854742,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,2,5029.00,2/9/2024 10:33:03 AM,41044854748,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,5028.75,2/9/2024 10:33:41 AM,41044854757,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Buy,1,5028.75,2/9/2024 10:33:41 AM,41044854763,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MES 03-24,Sell,6,5025.00,2/9/2024 11:35:46 AM,41044854780,Exit,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17980.25,2/9/2024 11:38:31 AM,41044854799,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17983.75,2/9/2024 11:39:30 AM,41044854812,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,5029.75,2/9/2024 11:50:04 AM,41044854826,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,5029.75,2/9/2024 11:51:51 AM,41044854850,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,5028.00,2/9/2024 11:54:26 AM,41044854888,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,3,5026.50,2/9/2024 12:01:19 PM,41044854962,Exit,-,,,$7.02,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,5027.00,2/9/2024 12:02:33 PM,41044855001,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,5027.00,2/9/2024 12:02:33 PM,41044855004,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,5029.25,2/9/2024 12:13:38 PM,41044855200,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17987.25,2/9/2024 12:13:50 PM,41044855210,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17986.00,2/9/2024 12:14:08 PM,41044855223,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,17982.50,2/9/2024 12:19:37 PM,41044855276,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17986.75,2/9/2024 12:22:39 PM,41044855286,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17987.00,2/9/2024 12:22:46 PM,41044855292,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18001.50,2/9/2024 12:30:04 PM,41044855370,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18007.00,2/9/2024 12:31:23 PM,41044855384,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18025.25,2/9/2024 12:57:06 PM,41044855395,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18027.00,2/9/2024 1:04:14 PM,41044855422,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18024.75,2/9/2024 1:08:29 PM,41044855430,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18032.75,2/9/2024 1:11:58 PM,41044855450,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18035.25,2/9/2024 1:54:54 PM,41044855458,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18036.50,2/9/2024 2:02:46 PM,41044855494,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18036.50,2/9/2024 2:02:46 PM,41044855500,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18039.50,2/9/2024 2:03:13 PM,41044855510,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18039.50,2/9/2024 2:03:15 PM,41044855518,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18031.25,2/9/2024 2:09:46 PM,41044855560,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18036.50,2/9/2024 2:14:02 PM,41044855568,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18037.75,2/9/2024 2:14:41 PM,41044855590,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18036.75,2/9/2024 2:16:02 PM,41044855632,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18040.75,2/9/2024 2:19:18 PM,41044855668,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18040.00,2/9/2024 2:19:35 PM,41044855676,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18042.25,2/9/2024 2:21:00 PM,41044855714,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,1,38768,2/9/2024 2:30:14 PM,41044855722,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,1,38768,2/9/2024 2:31:13 PM,41044855731,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,1,38770,2/9/2024 2:35:21 PM,41044855767,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,1,38770,2/9/2024 2:35:21 PM,41044855761,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,1,38770,2/9/2024 2:35:21 PM,41044855755,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,1,38770,2/9/2024 2:35:21 PM,41044855749,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38796,2/9/2024 2:42:22 PM,41044855776,Exit,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38797,2/9/2024 2:42:25 PM,41044855787,Exit,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18045.75,2/9/2024 3:01:33 PM,41044855830,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18045.25,2/9/2024 3:01:34 PM,41044855836,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18041.00,2/9/2024 3:01:47 PM,41044855842,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18042.50,2/9/2024 3:01:49 PM,41044855851,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18052.00,2/9/2024 3:17:43 PM,41044856015,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,3,18052.00,2/9/2024 3:17:43 PM,41044856020,Exit,-,,,$7.02,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18043.25,2/9/2024 3:02:33 PM,41044855874,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18052.00,2/9/2024 3:17:43 PM,41044856029,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18035.25,2/9/2024 3:04:34 PM,41044855883,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18035.50,2/9/2024 3:04:40 PM,41044855907,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,18052.00,2/9/2024 3:17:43 PM,41044856034,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38762,2/9/2024 3:16:33 PM,41044855966,Exit,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38762,2/9/2024 3:16:33 PM,41044855974,Exit,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38762,2/9/2024 3:16:33 PM,41044855982,Exit,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38762,2/9/2024 3:16:33 PM,41044855990,Exit,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Sell,1,38762,2/9/2024 3:16:33 PM,41044855998,Entry,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
YM 03-24,Buy,1,38764,2/9/2024 3:16:34 PM,41044856007,Exit,-,,,$1.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18036.75,2/12/2024 1:36:21 PM,41044856060,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18039.25,2/12/2024 1:36:24 PM,41044856071,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18039.25,2/12/2024 1:36:29 PM,41044856086,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,3,18024.50,2/12/2024 1:38:20 PM,41044856103,Exit,-,,,$7.02,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18002.25,2/12/2024 1:39:24 PM,41044856124,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18002.50,2/12/2024 1:39:24 PM,41044856130,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18001.50,2/12/2024 1:39:25 PM,41044856136,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18009.50,2/12/2024 1:48:01 PM,41044856176,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,18017.00,2/12/2024 2:01:57 PM,41044856234,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,18003.50,2/12/2024 2:04:45 PM,41044856243,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17961.25,2/12/2024 2:18:28 PM,41044856294,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,3,17978.25,2/12/2024 2:38:12 PM,41044856331,Exit,-,,,$7.02,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,6,17713.50,2/13/2024 12:18:03 PM,41044856348,Entry,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,4,17690.75,2/13/2024 12:26:39 PM,41044856482,Exit,-,,,$1.40,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,2,17690.25,2/13/2024 12:26:39 PM,41044856496,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,4,17708.25,2/13/2024 12:19:20 PM,41044856372,Entry,-,,,$1.40,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,4,17690.75,2/13/2024 12:26:39 PM,41044856472,Exit,-,,,$1.40,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17713.50,2/13/2024 12:20:21 PM,41044856403,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17713.50,2/13/2024 12:20:26 PM,41044856415,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,2,17713.50,2/13/2024 12:20:27 PM,41044856421,Entry,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17690.75,2/13/2024 12:26:39 PM,41044856464,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,3,17690.75,2/13/2024 12:26:39 PM,41044856456,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17704.75,2/13/2024 12:24:52 PM,41044856436,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17690.75,2/13/2024 12:26:39 PM,41044856448,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,5,17717.50,2/13/2024 12:32:37 PM,41044856528,Entry,-,,,$1.75,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17717.50,2/13/2024 12:32:38 PM,41044856534,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,6,17689.00,2/13/2024 12:53:25 PM,41044856682,Exit,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,6,17717.50,2/13/2024 12:32:41 PM,41044856551,Entry,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,6,17689.00,2/13/2024 12:53:25 PM,41044856670,Exit,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,3,17719.75,2/13/2024 12:32:48 PM,41044856566,Entry,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,3,17689.00,2/13/2024 12:53:25 PM,41044856662,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,17664.50,2/13/2024 12:59:08 PM,41044856704,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,17669.25,2/13/2024 1:01:34 PM,41044856721,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,2,17696.00,2/13/2024 1:15:37 PM,41044856792,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,2,17696.00,2/13/2024 1:15:37 PM,41044856797,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,17685.50,2/13/2024 1:17:06 PM,41044856811,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,17684.00,2/13/2024 1:17:07 PM,41044856817,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,2,17681.25,2/13/2024 1:18:16 PM,41044856826,Exit,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,17684.50,2/13/2024 1:19:16 PM,41044856841,Entry,-,,,$4.68,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17686.50,2/13/2024 1:24:22 PM,41044856853,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17686.25,2/13/2024 1:29:42 PM,41044856887,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17677.75,2/13/2024 1:33:45 PM,41044856921,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17683.00,2/13/2024 1:40:33 PM,41044856949,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17679.00,2/13/2024 1:41:43 PM,41044856957,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17629.25,2/13/2024 2:04:14 PM,41044857008,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17630.25,2/13/2024 2:04:16 PM,41044857016,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17627.25,2/13/2024 2:04:18 PM,41044857024,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17547.50,2/13/2024 3:22:55 PM,41044857144,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17589.50,2/13/2024 3:34:49 PM,41044857174,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17584.00,2/13/2024 3:35:11 PM,41044857182,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17591.75,2/13/2024 3:35:31 PM,41044857188,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,6,17778.25,2/14/2024 9:37:47 AM,41044857204,Entry,-,,,$2.10,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,3,17777.25,2/14/2024 9:44:06 AM,41044857255,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,3,17752.25,2/14/2024 9:40:09 AM,41044857235,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17797.25,2/14/2024 10:46:20 AM,41044857279,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17797.50,2/14/2024 10:46:21 AM,41044857294,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17797.75,2/14/2024 10:46:21 AM,41044857303,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17796.00,2/14/2024 10:46:22 AM,41044857324,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17796.25,2/14/2024 10:46:22 AM,41044857339,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17773.50,2/14/2024 10:56:05 AM,41044857474,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17774.75,2/14/2024 10:56:11 AM,41044857491,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,3,17764.25,2/14/2024 10:58:17 AM,41044857538,Exit,-,,,$1.05,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17855.75,2/15/2024 10:15:41 AM,41044857617,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17856.50,2/15/2024 10:15:39 AM,41044857595,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17857.00,2/15/2024 10:15:39 AM,41044857589,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17858.50,2/15/2024 10:15:36 AM,41044857577,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17825.50,2/15/2024 10:21:42 AM,41044857768,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17825.50,2/15/2024 10:21:42 AM,41044857760,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17825.50,2/15/2024 10:21:42 AM,41044857752,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17825.50,2/15/2024 10:21:42 AM,41044857744,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17855.50,2/15/2024 10:16:18 AM,41044857648,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17825.50,2/15/2024 10:21:42 AM,41044857736,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17826.50,2/15/2024 10:28:26 AM,41044857857,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17826.75,2/15/2024 10:28:26 AM,41044857851,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17827.25,2/15/2024 10:28:22 AM,41044857800,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17809.50,2/15/2024 11:04:26 AM,41044858116,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17827.00,2/15/2024 10:28:26 AM,41044857845,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17827.25,2/15/2024 10:28:26 AM,41044857833,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17827.50,2/15/2024 10:28:24 AM,41044857821,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17809.50,2/15/2024 11:04:26 AM,41044858108,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17809.50,2/15/2024 11:04:26 AM,41044858100,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17818.75,2/15/2024 10:36:58 AM,41044858028,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17819.25,2/15/2024 10:37:00 AM,41044858062,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17818.75,2/15/2024 10:37:00 AM,41044858048,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17845.50,2/15/2024 12:14:53 PM,41044858136,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17856.75,2/15/2024 12:16:20 PM,41044858158,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17849.75,2/15/2024 12:17:09 PM,41044858181,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17850.25,2/15/2024 12:17:08 PM,41044858172,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17846.50,2/15/2024 12:17:42 PM,41044858209,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17858.00,2/15/2024 12:19:08 PM,41044858233,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17869.25,2/15/2024 12:38:04 PM,41044858295,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17867.25,2/15/2024 12:58:15 PM,41044858369,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17882.75,2/15/2024 1:08:19 PM,41044858413,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17893.75,2/15/2024 1:12:45 PM,41044858439,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17918.50,2/15/2024 1:20:24 PM,41044858477,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17912.00,2/15/2024 1:38:12 PM,41044858501,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17913.50,2/15/2024 2:10:09 PM,41044858509,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17913.25,2/15/2024 2:10:09 PM,41044858515,Entry,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17894.75,2/15/2024 2:11:14 PM,41044858545,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17894.75,2/15/2024 2:11:14 PM,41044858540,Exit,-,,,$2.34,1,MFFUSFEX08830007,MFFU,