Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type
37199170,NQM4,05/07/2024 13:33:37 +00:00,05/07/2024 13:34:07 +00:00,18228.250000000,18223.750000000,1.4000,90.000000000,1,Short
37194226,NQM4,05/07/2024 13:32:39 +00:00,05/07/2024 13:32:48 +00:00,18227.500000000,18231.500000000,1.4000,80.000000000,1,Long
37203385,NQM4,05/07/2024 13:35:17 +00:00,05/07/2024 13:35:25 +00:00,18227.500000000,18227.750000000,1.4000,5.000000000,1,Long
37205326,NQM4,05/07/2024 13:35:46 +00:00,05/07/2024 13:35:56 +00:00,18224.500000000,18225.500000000,1.4000,20.000000000,1,Long
37227154,NQM4,05/07/2024 13:40:36 +00:00,05/07/2024 13:41:12 +00:00,18214.750000000,18220.250000000,1.4000,110.000000000,1,Long
37251938,NQM4,05/07/2024 13:46:52 +00:00,05/07/2024 13:47:23 +00:00,18227.750000000,18228.250000000,1.4000,10.000000000,1,Long
37260515,NQM4,05/07/2024 13:48:47 +00:00,05/07/2024 13:49:22 +00:00,18221.500000000,18216.750000000,1.4000,-95.000000000,1,Long
37267052,NQM4,05/07/2024 13:49:41 +00:00,05/07/2024 13:49:51 +00:00,18207.250000000,18204.250000000,1.4000,60.000000000,1,Short
37254936,NQM4,05/07/2024 13:47:40 +00:00,05/07/2024 13:48:13 +00:00,18230.250000000,18227.250000000,1.4000,-60.000000000,1,Long
37271561,NQM4,05/07/2024 13:50:02 +00:00,05/07/2024 13:50:29 +00:00,18202.250000000,18200.500000000,1.4000,35.000000000,1,Short
37285774,NQM4,05/07/2024 13:52:17 +00:00,05/07/2024 13:52:50 +00:00,18201.500000000,18206.000000000,1.4000,90.000000000,1,Long
37275825,NQM4,05/07/2024 13:50:35 +00:00,05/07/2024 13:51:08 +00:00,18198.250000000,18193.500000000,1.4000,95.000000000,1,Short
37298620,NQM4,05/07/2024 13:55:32 +00:00,05/07/2024 13:56:08 +00:00,18211.000000000,18209.750000000,1.4000,-25.000000000,1,Long
37293093,NQM4,05/07/2024 13:53:35 +00:00,05/07/2024 13:54:30 +00:00,18200.500000000,18208.250000000,1.4000,155.000000000,1,Long
37419652,NQM4,05/07/2024 14:24:11 +00:00,05/07/2024 14:24:27 +00:00,18193.750000000,18190.500000000,4.2000,-195.000000000,3,Long
37424336,NQM4,05/07/2024 14:25:24 +00:00,05/07/2024 14:25:43 +00:00,18194.750000000,18192.500000000,4.2000,-135.000000000,3,Long
37421565,NQM4,05/07/2024 14:24:50 +00:00,05/07/2024 14:25:03 +00:00,18191.500000000,18188.000000000,4.2000,-210.000000000,3,Long
37422001,NQM4,05/07/2024 14:25:08 +00:00,05/07/2024 14:25:11 +00:00,18188.500000000,18191.750000000,4.2000,-195.000000000,3,Short
37426971,NQM4,05/07/2024 14:26:16 +00:00,05/07/2024 14:26:40 +00:00,18197.000000000,18195.250000000,4.2000,-105.000000000,3,Long
37429580,NQM4,05/07/2024 14:27:10 +00:00,05/07/2024 14:27:26 +00:00,18191.750000000,18188.000000000,4.2000,-225.000000000,3,Long
38880545,NQM4,05/08/2024 14:23:39 +00:00,05/08/2024 14:25:46 +00:00,18195.500000000,18200.750000000,1.4000,-105.000000000,1,Short
38867816,NQM4,05/08/2024 14:22:39 +00:00,05/08/2024 14:23:12 +00:00,18186.500000000,18194.000000000,1.4000,-150.000000000,1,Short
38892826,NQM4,05/08/2024 14:26:07 +00:00,05/08/2024 14:28:24 +00:00,18201.250000000,18206.750000000,1.4000,110.000000000,1,Long
38892828,NQM4,05/08/2024 14:27:09 +00:00,05/08/2024 14:28:24 +00:00,18195.750000000,18206.750000000,1.4000,220.000000000,1,Long
38908743,NQM4,05/08/2024 14:32:04 +00:00,05/08/2024 14:32:53 +00:00,18207.000000000,18202.250000000,1.4000,-95.000000000,1,Long
38916391,NQM4,05/08/2024 14:34:03 +00:00,05/08/2024 14:35:25 +00:00,18198.250000000,18196.500000000,1.4000,-35.000000000,1,Long
38937500,NQM4,05/08/2024 14:41:05 +00:00,05/08/2024 14:41:48 +00:00,18208.250000000,18214.000000000,1.4000,-115.000000000,1,Short
38932256,NQM4,05/08/2024 14:37:31 +00:00,05/08/2024 14:41:04 +00:00,18200.250000000,18205.250000000,1.4000,100.000000000,1,Long
38932257,NQM4,05/08/2024 14:39:15 +00:00,05/08/2024 14:41:04 +00:00,18199.000000000,18205.250000000,1.4000,125.000000000,1,Long
38950672,NQM4,05/08/2024 14:44:14 +00:00,05/08/2024 14:44:40 +00:00,18221.000000000,18216.750000000,1.4000,-85.000000000,1,Long
38953868,NQM4,05/08/2024 14:45:40 +00:00,05/08/2024 14:45:44 +00:00,18222.000000000,18218.000000000,1.4000,-80.000000000,1,Long
38955841,NQM4,05/08/2024 14:45:49 +00:00,05/08/2024 14:46:20 +00:00,18217.250000000,18223.000000000,1.4000,-115.000000000,1,Short
39041396,NQM4,05/08/2024 15:08:14 +00:00,05/08/2024 15:09:04 +00:00,18202.000000000,18204.000000000,1.4000,40.000000000,1,Long
39068313,NQM4,05/08/2024 15:15:57 +00:00,05/08/2024 15:16:51 +00:00,18182.250000000,18172.250000000,1.4000,200.000000000,1,Short
39078384,NQM4,05/08/2024 15:19:19 +00:00,05/08/2024 15:19:42 +00:00,18183.500000000,18184.500000000,1.4000,20.000000000,1,Long
39113281,NQM4,05/08/2024 15:31:50 +00:00,05/08/2024 15:33:19 +00:00,18188.250000000,18190.500000000,1.4000,45.000000000,1,Long
39121468,NQM4,05/08/2024 15:36:19 +00:00,05/08/2024 15:36:27 +00:00,18187.750000000,18189.500000000,1.4000,35.000000000,1,Long
39126463,NQM4,05/08/2024 15:37:38 +00:00,05/08/2024 15:38:50 +00:00,18183.750000000,18187.000000000,1.4000,65.000000000,1,Long
